,highway,osm_id,length,area,geometry
201,residential,54987936,261.56,,"MultiLineString ((910996.9344472560333088 7012100.10232776775956154, 910945.7942731857765466 7012100.21371711324900389, 910925.53412586136255413 7012097.50324350222945213, 910835.81061628193128854 7012041.04762935917824507, 910811.8880577104864642 7012026.9198647728189826, 910810.12920975603628904 7012025.88024050649255514, 910763.83143353497143835 7011997.81043666787445545))"
324,residential,248557900,232.64,,"MultiLineString ((909307.68343836651183665 7011552.62394153326749802, 909299.668435029219836 7011557.50617388822138309, 909276.82567551848478615 7011586.22415630985051394, 909262.1092388357501477 7011604.73218042030930519, 909243.24058514612261206 7011628.45667137391865253, 909230.24960057064890862 7011651.56862600985914469, 909211.32528713578358293 7011675.42320369184017181, 909199.99296297295950353 7011689.69885670207440853, 909164.33733007195405662 7011734.69796147570014))"
209,residential,61729962,1050.47,,"MultiLineString ((909164.33733007195405662 7011734.69796147570014, 909022.14894448174163699 7011627.75124730821698904, 909016.09316418261732906 7011622.94322703685611486, 909009.72568930906709284 7011617.91244445368647575, 908954.21065925050061196 7011572.6726714251562953, 908948.65581665991339833 7011568.14313914906233549, 908935.55351259373128414 7011557.46904663555324078, 908921.42706921184435487 7011546.44225998781621456, 908909.57154344243463129 7011537.47604572586715221, 908905.80894465348683298 7011533.9675298472866416, 908859.36645309475716203 7011492.57087181881070137, 908811.30982891924213618 7011448.25997880194336176, 908773.58365348959341645 7011414.06632024701684713, 908744.93001655919943005 7011385.7573491120710969, 908719.27087393123656511 7011361.69944349769502878, 908710.69927314016968012 7011352.62205816525965929, 908679.41849622724112123 7011323.49652963038533926, 908673.51856321538798511 7011317.05514285061508417, 908663.92282310896553099 7011306.5670170160010457, 908659.20287669927347451 7011301.16517352405935526, 908630.27094104222487658 7011268.2901155911386013, 908630.34886468562763184 7011260.6421825410798192, 908654.7723609657259658 7011222.5140044316649437, 908670.00086730625480413 7011192.16380803287029266, 908719.74954774172510952 7011069.00074145942926407, 908745.75378079095389694 7011024.89638944994658232, 908750.70749813120346516 7011016.4876328632235527, 908777.06795355118811131 7010963.34375396557152271))"
333,residential,282532963,74.29,,"MultiLineString ((910380.90351715532597154 7013041.8806143756955862, 910379.25598869158420712 7013032.93128460738807917, 910379.24485674244351685 7013024.20476940646767616, 910381.07049639150500298 7013015.01408820133656263, 910385.96855398640036583 7013009.3697154987603426, 910393.02620970283169299 7013005.86055159196257591, 910400.07273346977308393 7013005.11787160020321608, 910408.98942468233872205 7013003.24260492064058781, 910416.14726794045418501 7013002.29568825382739305, 910424.41830610646866262 7013001.34877169970422983))"
429,residential,684480198,192.52,,"MultiLineString ((909140.41477150050923228 7012491.03281818609684706, 909128.25868310581427068 7012502.85924240667372942, 909109.70172399061266333 7012549.18112007435411215, 909077.55265504959970713 7012629.46063507813960314, 909067.30012994748540223 7012667.27991900965571404))"
251,residential,85586861,70.02,,"MultiLineString ((909469.30820704926736653 7011345.12254924792796373, 909440.98852859146427363 7011334.39306608308106661, 909423.14401421707589179 7011322.5683755911886692, 909407.24759093194734305 7011313.43534565251320601))"
200,residential,54357578,139.23,,"MultiLineString ((909088.08347887836862355 7011163.61430981196463108, 909089.4749725132714957 7011149.2467856714501977, 909096.75526721146889031 7011136.40142425615340471, 909106.76288943376857787 7011127.50992176309227943, 909124.70759134960826486 7011118.3771153287962079, 909136.08444330864585936 7011120.84594205114990473, 909189.29515990766230971 7011157.95268544740974903))"
43,residential,24293886,79.55,,"MultiLineString ((908996.84602422430180013 7011949.00411497615277767, 909000.93144953646697104 7011953.83089650142937899, 909002.22275562968570739 7011959.51165080815553665, 909000.40824792988132685 7011966.00925056729465723, 908995.32094720029272139 7011970.81747780088335276, 908987.78461767383851111 7011972.15412835776805878, 908982.24090703227557242 7011970.07489425595849752, 908978.52283603965770453 7011966.21346093527972698, 908976.61927274730987847 7011958.67624550871551037, 908979.1907529846066609 7011951.71453809179365635, 908984.45616489904932678 7011947.63033923134207726, 908992.18173756019677967 7011946.94345144834369421, 908996.84602422430180013 7011949.00411497615277767))"
42,residential,24293877,65.33,,"MultiLineString ((909307.68343836651183665 7011552.62394153326749802, 909310.16586301114875823 7011556.85644697677344084, 909313.71695476735476404 7011559.28828226216137409, 909316.51107398641761392 7011560.01226390525698662, 909319.60575583030004054 7011559.90088210813701153, 909322.81175716524012387 7011558.73137335572391748, 909325.65040418040007353 7011556.410919982008636, 909327.82113425096031278 7011552.25266923103481531, 909328.15509272320196033 7011549.48669114243239164, 909327.23114094964694232 7011545.30988040659576654, 909324.97135528665967286 7011542.09837852697819471, 909322.64477792894467711 7011540.40909192990511656, 909320.21801302977837622 7011539.46234905067831278, 909317.24578262551221997 7011539.1653317017480731, 909314.1065729851834476 7011539.79649358615279198, 909310.92283554840832949 7011541.65285235736519098, 909308.27343166770879179 7011545.10568082612007856, 909307.24929235223680735 7011549.11541898641735315, 909307.68343836651183665 7011552.62394153326749802))"
426,residential,638583582,652.92,,"MultiLineString ((907837.598242950392887 7011896.59659452829509974, 907846.80436483910307288 7011917.81575097981840372, 907893.97043308813590556 7012003.02710569370537996, 907906.92802181665319949 7012028.75777228176593781, 907910.91325958690140396 7012040.24934501480311155, 907917.72601242340169847 7012059.92800562921911478, 907922.6129380693892017 7012082.79986845329403877, 907921.34389587433543056 7012112.09525616001337767, 907917.1916788675589487 7012137.06511079519987106, 907902.14128371234983206 7012191.12650648877024651, 907888.52690998825710267 7012250.70214370731264353, 907883.32828976819291711 7012316.70185042638331652, 907894.41571105131879449 7012525.54671758599579334))"
41,residential,24258076,81.92,,"MultiLineString ((910200.37669893587008119 7011041.1570564853027463, 910208.83698023611214012 7011053.50107815396040678, 910215.07087172043975443 7011064.61999523732811213, 910219.66836669039912522 7011085.50281132198870182, 910221.67211752466391772 7011100.94684917293488979, 910218.08762992103584111 7011117.820237229578197))"
326,residential,255703326,650.64,,"MultiLineString ((910868.85024114942643791 7012321.58455086313188076, 910838.69379109353758395 7012367.58976118545979261, 910804.7970061469823122 7012421.05862017814069986, 910761.18202965427190065 7012487.20826403237879276, 910670.2228737270925194 7012624.81910547893494368, 910551.89025501359719783 7012809.98110135830938816, 910551.07762273098342121 7012811.24362647626549006, 910531.56331599503755569 7012841.78565531317144632, 910514.77633678342681378 7012867.42619665153324604))"
425,residential,638480178,447.53,,"MultiLineString ((908250.3375189647777006 7011112.34427129290997982, 908241.91063351172488183 7011122.07107439450919628, 908228.54116266721393913 7011137.49662044830620289, 908215.44999055017251521 7011163.94843858573585749, 908149.32621301896870136 7011297.52682051714509726, 908110.97664844058454037 7011374.99068484827876091, 908029.84700355038512498 7011500.25615441054105759))"
