,building,geometry,osm_id,area,category
553,house,"MultiPolygon (((909348.49316369113512337 7011981.69633468240499496, 909360.77170352556277066 7011986.15184349287301302, 909371.2246037112781778 7011989.93902794271707535, 909378.05962044605985284 7011971.07738206256181002, 909355.32818042591679841 7011962.8347083106637001, 909348.49316369113512337 7011981.69633468240499496)))",810815950,485.13,residential
188,house,"MultiPolygon (((908734.49938027176540345 7011758.53422387316823006, 908746.71112841193098575 7011766.44253228232264519, 908758.62231392681133002 7011748.02695300243794918, 908746.42169773590285331 7011740.11866286210715771, 908734.49938027176540345 7011758.53422387316823006)))",99077620,319.03,residential
157,house,"MultiPolygon (((910304.70532570721115917 7010740.84125270508229733, 910304.22665189695544541 7010754.61406443733721972, 910315.13596199464518577 7010755.00386134255677462, 910315.61463580525014549 7010741.21248721238225698, 910304.70532570721115917 7010740.84125270508229733)))",98639073,150.54,residential
516,house,"MultiPolygon (((909033.69277567695826292 7011564.78311892226338387, 909049.39995582785923034 7011560.829063780605793, 909045.71528068254701793 7011546.18236957397311926, 909030.00810053176246583 7011550.13641744758933783, 909033.69277567695826292 7011564.78311892226338387)))",469001953,244.63,residential
545,house,"MultiPolygon (((909482.22126798110548407 7011050.93946005403995514, 909505.56496520049404353 7011045.98328824527561665, 909501.2902967541012913 7011025.84307121019810438, 909484.26954661181662232 7011029.46273780334740877, 909486.91895049263257533 7011041.95524076372385025, 909480.59600341564510018 7011043.31029798369854689, 909482.22126798110548407 7011050.93946005403995514)))",766524661,408.71,residential
128,house,"MultiPolygon (((910238.82645105593837798 7010737.16603203676640987, 910242.17716772889252752 7010752.25672165676951408, 910240.49624341772869229 7010752.62795669585466385, 910242.8005568771623075 7010762.98542120214551687, 910252.696859608637169 7010760.79513188451528549, 910250.40367809822782874 7010750.51191721297800541, 910253.53175578976515681 7010749.82513259164988995, 910250.1476432696217671 7010734.64163902029395103, 910238.82645105593837798 7010737.16603203676640987)))",98639035,287.26,residential
525,house,"MultiPolygon (((910411.63882856327109039 7010763.41234206967055798, 910440.27020159538369626 7010764.86016084160655737, 910441.65056328114587814 7010737.68576010782271624, 910413.01919024903327227 7010736.23794627469033003, 910411.63882856327109039 7010763.41234206967055798)))",663720903,780.04,residential
526,house,"MultiPolygon (((910332.54633035475853831 7010746.31696341466158628, 910338.4573953157523647 7010748.84136012382805347, 910348.56520507985260338 7010753.14768577553331852, 910352.82874157710466534 7010743.14290691912174225, 910336.82099880103487521 7010736.31219313386827707, 910332.54633035475853831 7010746.31696341466158628)))",663720905,189.4,residential
527,house,"MultiPolygon (((910334.17159492033533752 7010758.88326966855674982, 910337.9564576072152704 7010760.49814355280250311, 910350.17933769628871232 7010765.71400280389934778, 910354.46513809205498546 7010755.67208465375006199, 910348.56520507985260338 7010753.14768577553331852, 910338.4573953157523647 7010748.84136012382805347, 910334.17159492033533752 7010758.88326966855674982)))",663720908,190.08,residential
528,house,"MultiPolygon (((910333.6706572116818279 7010770.54006777890026569, 910349.67839998786803335 7010777.37081089708954096, 910353.97533233242575079 7010767.32887806557118893, 910350.17933769628871232 7010765.71400280389934778, 910337.9564576072152704 7010760.49814355280250311, 910333.6706572116818279 7010770.54006777890026569)))",663720912,190.09,residential
529,house,"MultiPolygon (((910216.66274043871089816 7010772.17350582126528025, 910233.14915702538564801 7010768.38689996860921383, 910229.36429433850571513 7010751.94117189198732376, 910212.87787775183096528 7010755.74633168894797564, 910216.66274043871089816 7010772.17350582126528025)))",663720915,285.35,residential
530,house,"MultiPolygon (((910472.27455519826617092 7012840.67165828496217728, 910492.55696642096154392 7012852.07156857661902905, 910505.34757591318339109 7012829.30889747571200132, 910485.05403274146374315 7012817.92758630588650703, 910472.27455519826617092 7012840.67165828496217728)))",667709303,607.25,residential
430,no,"MultiPolygon (((909751.94839417329058051 7012657.66262704040855169, 909767.12124076846521348 7012668.69095124397426844, 909769.50347787130158395 7012665.42329803202301264, 909779.60015568637754768 7012672.77551962994039059, 909792.46868882211856544 7012655.10049330443143845, 909777.66319654649123549 7012644.33211412094533443, 909770.8281798119423911 7012653.72659583762288094, 909760.35301572817843407 7012646.09589937422424555, 909751.94839417329058051 7012657.66262704040855169)))",201377964,608.74,residential
41,office,"MultiPolygon (((910344.85826603637542576 7012930.99875633791089058, 910360.44299474754370749 7012906.75051807798445225, 910382.89613604033365846 7012871.8450672859326005, 910358.40584806597325951 7012856.10053099878132343, 910332.89142077625729144 7012895.77756467554718256, 910300.46405310812406242 7012874.92713816929608583, 910305.228527314029634 7012867.51903003919869661, 910284.91272024426143616 7012854.4480991568416357, 910264.08484351693186909 7012886.84696570131927729, 910283.33198347501456738 7012899.23097985424101353, 910288.39702030608896166 7012891.35868077073246241, 910298.70520515344105661 7012897.98700754623860121, 910297.19126007868908346 7012900.34498506877571344, 910344.85826603637542576 7012930.99875633791089058)))",88193761,3827.52,residential
122,yes,"MultiPolygon (((909858.70378584414720535 7011057.54769392777234316, 909850.33256013656500727 7011060.94462527334690094, 909858.14718839013949037 7011080.2124927407130599, 909859.08227211271878332 7011082.4956824379041791, 909867.44236587127670646 7011079.09874190855771303, 909858.70378584414720535 7011057.54769392777234316)))",98639029,210.08,residential
94,yes,"MultiPolygon (((910433.34612926794216037 7010786.65172125399112701, 910450.65631008625496179 7010807.51524719502776861, 910463.6918224582914263 7010796.69367843493819237, 910446.38164163997862488 7010775.83018082845956087, 910433.34612926794216037 7010786.65172125399112701)))",98603925,459.29,residential
415,yes,"MultiPolygon (((909397.34015625133179128 7012079.03120472095906734, 909411.87848174897953868 7012085.08334537222981453, 909419.83782534080091864 7012065.94300215225666761, 909405.29949984303675592 7012059.89087603706866503, 909397.34015625133179128 7012079.03120472095906734)))",165585678,326.44,residential
414,yes,"MultiPolygon (((909425.49285547283943743 7012026.10301712434738874, 909419.40367932652588934 7012043.62813046108931303, 909440.6434381699655205 7012051.01690800953656435, 909446.74374626553617418 7012033.51034316699951887, 909425.49285547283943743 7012026.10301712434738874)))",165585677,417.22,residential
95,yes,"MultiPolygon (((910222.44022201106417924 7010964.34611514955759048, 910231.69087169598788023 7010975.74334193859249353, 910248.35539946774952114 7010962.23001946322619915, 910239.10474978282582015 7010950.83281199727207422, 910222.44022201106417924 7010964.34611514955759048)))",98603927,314.94,residential
96,yes,"MultiPolygon (((910215.30464265123009682 7010920.50221224129199982, 910237.32363792997784913 7010916.1586719062179327, 910234.05084490089211613 7010899.56414216849952936, 910212.03184962191153318 7010903.90767346136271954, 910215.30464265123009682 7010920.50221224129199982)))",98603928,379.61,residential
